y,pcgroup,days.closed
2007,CCA,0
2007,ERA,0
2007,BGA,0
2007,BDA,0
2007,SFA,0
2007,MNA,0
2007,MRA,0
2008,CCA,0
2009,CCA,0
2010,CCA,0
2011,CCA,45
2012,CCA,45
2013,CCA,0
2014,CCA,0
2008,ERA,0
2009,ERA,0
2010,ERA,0
2011,ERA,45
2012,ERA,45
2013,ERA,0
2014,ERA,0
2008,BGA,0
2009,BGA,0
2010,BGA,0
2011,BGA,45
2012,BGA,45
2013,BGA,0
2014,BGA,0
2008,BDA,0
2009,BDA,0
2010,BDA,0
2011,BDA,0
2012,BDA,0
2013,BDA,0
2014,BDA,0
2008,SFA,0
2009,SFA,0
2010,SFA,0
2011,SFA,0
2012,SFA,0
2013,SFA,0
2014,SFA,0
2008,MRA,0
2009,MRA,0
2010,MRA,0
2011,MRA,0
2012,MRA,0
2013,MRA,0
2014,MRA,0
2008,MNA,0
2009,MNA,0
2010,MNA,0
2011,MNA,0
2012,MNA,0
2013,MNA,0
2014,MNA,0
2015,CCA,163
2015,ERA,177
2015,BGA,163
2015,BDA,132
2015,SFA,132
2015,MRA,132
2015,MNA,132
2016,CCA,0
2016,ERA,25
2016,BGA,28
2016,BDA,18
2016,SFA,0
2016,MRA,0
2016,MNA,0
2017,CCA,20
2017,ERA,20
2017,BGA,20
2017,BDA,0
2017,SFA,0
2017,MRA,0
2017,MNA,0
2005,CCA,14
2005,ERA,14
2005,BGA,14
2005,SFA,0
2005,MNA,0
2005,MRA,0
2005,BGA,0
